card_name,set_name,type,is_kingdom_card,cost,card_text,clean,in_supply,supply,clean_name,split_name,images
Chapel,Dominion,Action,1,$2,Trash up to 4 cards from your hand.,chapel,1,1,chapel,['chapel'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/chapel.jpg
Council Room,Dominion,Action,1,$5,+4 Cards\n+1 Buy\nEach other player draws a card.,council room,1,1,council room,"['council', 'room']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/council-room.jpg
Feast,Dominion,Action,1,$4,Trash this card. Gain a card costing up to $5.,feast,1,1,feast,['feast'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/feast.jpg
Festival,Dominion,Action,1,$5,+2 Actions\n+1 Buy\n+$2.,festival,1,1,festival,['festival'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/festival.jpg
Gardens,Dominion,Victory,1,$4,Worth 1VP for every 10 cards in your deck (rounded down).,gardens,1,1,gardens,['gardens'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/gardens.jpg
Laboratory,Dominion,Action,1,$5,+2 Cards\n+1 Action.,laboratory,1,1,laboratory,['laboratory'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/laboratory.jpg
Library,Dominion,Action,1,$5,"Draw until you have 7 cards in hand. You may set aside any Action cards drawn this way, as you draw them; discard the set aside cards after you finish drawing.",library,1,1,library,['library'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/library.jpg
Market,Dominion,Action,1,$5,+1 Card\n+1 Action\n+1 Buy\n+$1.,market,1,1,market,['market'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/market.jpg
Militia,Dominion,Action-Attack,1,$4,+$2\nEach other player discards down to 3 cards in his hand.,militia,1,1,militia,['militia'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/militia.jpg
Mine,Dominion,Action,1,$5,Trash a Treasure card from your hand. Gain a Treasure card costing up to $3 more; put it into your hand.,mine,1,1,mine,['mine'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/mine.jpg
Moat,Dominion,Action-Reaction,1,$2,"+2 Cards\dWhen another player plays an Attack card, you may reveal this from your hand. If you do, you are unaffected by that Attack.",moat,1,1,moat,['moat'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/moat.jpg
Moneylender,Dominion,Action,1,$4,"Trash a Copper from your hand. If you do, +$3.",moneylender,1,1,moneylender,"['money', 'lender', 'banker']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/moneylender.jpg
Remodel,Dominion,Action,1,$4,Trash a card from your hand. Gain a card costing up to $2 more than the trashed card.,remodel,1,1,remodel,['remodel'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/remodel.jpg
Smithy,Dominion,Action,1,$4,+3 Cards,smithy,1,1,smithy,['smithy'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/smithy.jpg
Spy,Dominion,Action-Attack,1,$4,"+1 Card\n+1 Action\nEach player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.",spy,1,1,spy,['spy'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/spy.jpg
Thief,Dominion,Action-Attack,1,$4,"Each other player reveals the top 2 cards of his deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",thief,1,1,thief,['thief'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/thief.jpg
Throne Room,Dominion,Action,1,$4,Choose an Action card in your hand. Play it twice.,throne room,1,1,throne room,"['throne', 'room']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/throne-room.jpg
Village,Dominion,Action,1,$3,+1 Card\n+2 Actions,village,1,1,village,['village'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/village.jpg
Witch,Dominion,Action-Attack,1,$5,+2 Cards\nEach other player gains a Curse card.,witch,1,1,witch,['witch'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/witch.jpg
Woodcutter,Dominion,Action,1,$3,+1 Buy\n+$2,woodcutter,1,1,woodcutter,['woodcutter'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/woodcutter.jpg
Workshop,Dominion,Action,1,$3,Gain a card costing up to $4.,workshop,1,1,workshop,['workshop'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/workshop.jpg
Baron,Intrigue,Action,1,$4,"+1 Buy\nYou may discard an Estate card. If you do, +$4.\nOtherwise, gain an Estate card.",baron,1,1,baron,['baron'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/baron.jpg
Bridge,Intrigue,Action,1,$4,"+1 Buy\n+$1\nAll cards (including cards in players' hands) cost $1 less this turn, but not less than $0.",bridge,1,1,bridge,['bridge'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/bridge.jpg
Conspirator,Intrigue,Action,1,$4,+$2\nIf you've played 3 or more Actions this turn (counting this): +1 Card; +1 Action.,conspirator,1,1,conspirator,['conspirator'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/conspirator.jpg
Coppersmith,Intrigue,Action,1,$4,Copper produces an extra $1 this turn.,coppersmith,1,1,coppersmith,['coppersmith'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/coppersmith.jpg
Courtyard,Intrigue,Action,1,$2,+3 Cards\nPut a card from your hand on top of your deck.,courtyard,1,1,courtyard,['courtyard'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/courtyard.jpg
Duke,Intrigue,Victory,1,$5,Worth 1VP per Duchy you have.,duke,1,1,duke,['duke'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/duke.jpg
Great Hall,Intrigue,Action-Victory,1,$3,+1 Card\n+1 Action\dWorth 1VP,great hall,1,1,great hall,"['great', 'hall']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/great%20hall.jpg
Harem,Intrigue,Treasure-Victory,1,$6,Worth $2\nWorth 2VP,harem,1,1,harem,['harem'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/harem.jpg
Ironworks,Intrigue,Action,1,$4,"Gain a card costing up to $4. If it is an...\nAction card, +1 Action\nTreasure card, +$1\nVictory card, +1 Card",ironworks,1,1,ironworks,['ironworks'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/ironworks.jpg
Masquerade,Intrigue,Action,1,$3,+2 Cards\nEach player passes a card in their hand to the player on their left. Then you may trash a card from your hand.,masquerade,1,1,masquerade,['masquerade'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/masquerade.jpg
Mining Village,Intrigue,Action,1,$4,"+1 Card\n+2 Actions\nYou may trash this card immediately. If you do, +$2.",mining village,1,1,mining village,"['mining', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/mining-village.jpg
Minion,Intrigue,Action-Attack,1,$5,"+1 Action\nChoose one: +$2; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards his hand and draws 4 cards.",minion,1,1,minion,['minion'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/minion.jpg
Nobles,Intrigue,Action-Victory,1,$6,Choose one: +3 Cards; or +2 Actions.\dWorth 2VP,nobles,1,1,nobles,['nobles'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/nobles.jpg
Pawn,Intrigue,Action,1,$2,Choose two: +1 Card; +1 Action; +1 Buy; +$1.\n(The choices must be different.),pawn,1,1,pawn,['pawn'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/pawn.jpg
Saboteur,Intrigue,Action-Attack,1,$5,Each other player reveals cards from the top of his deck until revealing one costing $3 or more. He trashes that card and may gain a card costing at most $2 less than it. He discards the other revealed cards.,saboteur,1,1,saboteur,['saboteur'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/saboteur.jpg
Scout,Intrigue,Action,1,$4,+1 Action\nReveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.,scout,1,1,scout,['scout'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/scout.jpg
Secret Chamber,Intrigue,Action-Reaction,1,$2,"Discard any number of cards. +$1 per card discarded.\dWhen another player plays an Attack card, you may reveal this from your hand. If you do, +2 cards, then put 2 cards from your hand on top of your deck.",secret chamber,1,1,secret chamber,"['secret', 'chamber']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/secret%20chamber.jpg
Shanty Town,Intrigue,Action,1,$3,"+2 Actions\nReveal your hand.\nIf you have no Action cards in hand, +2 Cards.",shanty town,1,1,shanty town,"['shanty', 'town']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/shanty-town.jpg
Steward,Intrigue,Action,1,$3,Choose one: +2 Cards; or +$2; or trash 2 cards from your hand.,steward,1,1,steward,['steward'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/steward.jpg
Swindler,Intrigue,Action-Attack,1,$3,+$2\nEach other player trashes the top card of his deck and gains a card with the same cost that you choose.,swindler,1,1,swindler,['swindler'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/swindler.jpg
Torturer,Intrigue,Action-Attack,1,$5,"+3 Cards\nEach other player chooses one: he discards 2 cards; or he gains a Curse card, putting it in his hand.",torturer,1,1,torturer,['torturer'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/torturer.jpg
Trading Post,Intrigue,Action,1,$5,"Trash 2 cards from your hand. If you do, gain a silver card; put it into your hand.",trading post,1,1,trading post,"['trading', 'post']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/trading-post.jpg
Tribute,Intrigue,Action,1,$5,"The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an...\nAction Card, +2 Actions\nTreasure Card, +$2\nVictory Card, +2 Cards",tribute,1,1,tribute,['tribute'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/tribute.jpg
Upgrade,Intrigue,Action,1,$5,+1 Card\n+1 Action\nTrash a card from your hand. Gain a card costing exactly $1 more than it.,upgrade,1,1,upgrade,['upgrade'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/upgrade.jpg
Wishing Well,Intrigue,Action,1,$3,"+1 Card\n+1 Action\nName a card, then reveal the top card of your deck. If it is the named card, put it in your hand.",wishing well,1,1,wishing well,"['wishing', 'well']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/intrigue/wishing-well.jpg
Ambassador,Seaside,Action-Attack,1,$3,Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply.\nThen each other player gains a copy of it.,ambassador,1,1,ambassador,['ambassador'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/ambassador.jpg
Bazaar,Seaside,Action,1,$5,+1 Card\n+2 Actions\n+$1.,bazaar,1,1,bazaar,['bazaar'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/bazaar.jpg
Caravan,Seaside,Action-Duration,1,$4,"+1 Card\n+1 Action\nAt the start of your next turn, +1 Card.",caravan,1,1,caravan,['caravan'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/caravan.jpg
Cutpurse,Seaside,Action-Attack,1,$4,+$2\nEach other player discards a Copper card (or reveals a hand with no Copper).,cutpurse,1,1,cutpurse,"['cut', 'purse', 'thief']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/cutpurse.jpg
Embargo,Seaside,Action,1,$2,"+$2\nTrash this card. Put an Embargo token on top of a Supply pile.\dWhen a player buys a card, he gains a Curse card per Embargo token on that pile.",embargo,1,1,embargo,['embargo'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/embargo.jpg
Explorer,Seaside,Action,1,$5,"You may reveal a Province card from your hand. If you do, gain a Gold card, putting it into your hand. Otherwise, gain a Silver card, putting it into your hand.",explorer,1,1,explorer,['explorer'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/explorer.jpg
Fishing Village,Seaside,Action-Duration,1,$3,+2 Actions\n+$1\nAt the start of your next turn: +1 Action; +$1.,fishing village,1,1,fishing village,"['fishing', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/fishing-village.jpg
Ghost Ship,Seaside,Action-Attack,1,$5,+2 Cards\nEach other player with 4 or more cards in hand puts cards from his hand on top of his deck until he has 3 cards in his hand.,ghost ship,1,1,ghost ship,"['ghost', 'ship']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/ghost-ship.jpg
Haven,Seaside,Action-Duration,1,$2,"+1 Card\n+1 Action\nSet aside a card from your hand face down. At the start of your next turn, put it into your hand.",haven,1,1,haven,['haven'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/haven.jpg
Island,Seaside,Action-Victory,1,$4,Set aside this and another card from your hand. Return them to your deck at the end of the game.\dWorth 2VP,island,1,1,island,['island'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/island.jpg
Lighthouse,Seaside,Action-Duration,1,$2,"+1 Action\nNow and at the start of your next turn: +$1.\dWhile this is in play, when another player plays an Attack card, it doesn't affect you.",lighthouse,1,1,lighthouse,['lighthouse'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/lighthouse.jpg
Lookout,Seaside,Action,1,$3,+1 Action\nLook at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one on top of your deck.,lookout,1,1,lookout,['lookout'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/lookout.jpg
Merchant Ship,Seaside,Action-Duration,1,$5,Now and at the start of your next turn: +$2.,merchant ship,1,1,merchant ship,"['merchant', 'ship']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/merchant-ship.jpg
Native Village,Seaside,Action,1,$2,+2 Actions\nChoose one: Set aside the top card of your deck face down on your Native Village mat; or put all the cards from your mat into your hand.\nYou may look at the cards on your mat at any time; return them to your deck at the end of the game.,native village,1,1,native village,"['native', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/native-village.jpg
Navigator,Seaside,Action,1,$4,"+$2\nLook at the top 5 cards of your deck. Either discard all of them, or put them back on top of your deck in any order.",navigator,1,1,navigator,['navigator'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/navigator.jpg
Outpost,Seaside,Action-Duration,1,$5,You only draw 3 cards (instead of 5) in this turn's Clean-up phase. Take an extra turn after this one. This can't cause you to take more than two consecutive turns.,outpost,1,1,outpost,['outpost'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/outpost.jpg
Pearl Diver,Seaside,Action,1,$2,+1 Card\n+1 Action\nLook at the bottom card of your deck. You may put it on top.,pearl diver,1,1,pearl diver,"['pearl', 'diver']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/pearl-diver.jpg
Pirate Ship,Seaside,Action-Attack,1,$4,"Choose one: Each other player reveals the top 2 cards of his deck, trashes a revealed Treasure that you choose, discards the rest, and if anyone trashed a Treasure you take a Coin token; or, +$1 per Coin token you've taken with Pirate Ships this game.",pirate ship,1,1,pirate ship,"['pirate', 'ship']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/pirate-ship.jpg
Salvager,Seaside,Action,1,$4,+1 Buy\nTrash a card from your hand. +$ equal to its cost.,salvager,1,1,salvager,"['salvage', 'recover']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/salvager.jpg
Sea Hag,Seaside,Action-Attack,1,$4,"Each other player discards the top card of his deck, then gains a Curse card, putting it on top of his deck.",sea hag,1,1,sea hag,"['sea', 'hag']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/sea-hag.jpg
Smugglers,Seaside,Action,1,$3,Gain a copy of a card costing up to $6 that the player to your right gained on his last turn.,smugglers,1,1,smugglers,['smugglers'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/smugglers.jpg
Tactician,Seaside,Action-Duration,1,$5,"Discard your hand. If you discarded any cards this way, then at the start of your next turn, +5 Cards; +1 Buy; and +1 Action.",tactician,1,1,tactician,['tactician'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/tactician.jpg
Treasure Map,Seaside,Action,1,$4,"Trash this and another copy of Treasure Map from your hand. If you do trash two Treasure Maps, gain 4 Gold cards, putting them on top of your deck.",treasure map,1,1,treasure map,"['treasure', 'map']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/treasure-map.jpg
Treasury,Seaside,Action,1,$5,"+1 Card\n+1 Action\n+$1\dWhen you discard this from play, if you didn't buy a Victory card this turn, you may put this on top of your deck.",treasury,1,1,treasury,['treasury'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/treasury.jpg
Warehouse,Seaside,Action,1,$3,+3 Cards\n +1 Action\nDiscard 3 cards.,warehouse,1,1,warehouse,['warehouse'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/warehouse.jpg
Wharf,Seaside,Action-Duration,1,$5,Now and at the start of your next turn: +2 Cards\n+1 Buy.,wharf,1,1,wharf,['wharf'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/seaside/wharf.jpg
Alchemist,Alchemy,Action,1,$3,"+2 Cards\n+1 Action\dWhen you discard this from play, you may put this on top of your deck if you have a Potion in play.",alchemist,1,1,alchemist,['alchemist'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/alchemist.jpg
Apothecary,Alchemy,Action,1,$2,+1 Card\n+1 Action\nReveal the top 4 cards of your deck. Put the revealed Coppers and Potions into your hand. Put the other cards back on top in any order.,apothecary,1,1,apothecary,['apothecary'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/apothecary.jpg
Apprentice,Alchemy,Action,1,$5,+1 Action\nTrash a card from your hand. +1 Card per Coin it costs. +2 Cards if it has  in its cost.,apprentice,1,1,apprentice,['apprentice'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/apprentice.jpg
Familiar,Alchemy,Action-Attack,1,$3,+1 Card\n+1 Action\nEach other player gains a curse.,familiar,1,1,familiar,['familiar'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/familiar.jpg
Golem,Alchemy,Action,1,$4,"Reveal cards from your deck until you reveal 2 Action cards other than Golem Cards. Discard the other cards, then play the Action cards in either order.",golem,1,1,golem,['golem'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/golem.jpg
Herbalist,Alchemy,Action,1,$2,"+1 Buy\n+$1\dWhen you discard this from play, you may put one of your Treasures from play on top of your deck.",herbalist,1,1,herbalist,['herbalist'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/herbalist.jpg
Philosopher's Stone,Alchemy,Treasure,1,$3,"When you play this, count your deck and discard pile. Worth $1 per 5 cards total between them (rounded down).",philosopher stone,1,1,philosopher stone,"['philosopher', 'stone']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/philosopher%20stone.jpg
Possession,Alchemy,Action,1,$6,"The player to your left takes an extra turn after this one, in which you can see all cards he can and make all decisions for him. Any cards he would gain on that turn, you gain instead; any cards of his that are trashed are set aside and returned to his discard pile at end of turn.",possession,1,1,possession,['possession'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/possession.jpg
Scrying Pool,Alchemy,Action-Attack,1,$2,"+1 Action\nEach player (including you) reveals the top card of his deck and either discards it or puts it back, your choice. Then reveal cards from the top of your deck until revealing one that isn't an Action. Put all of your revealed cards into your han",scrying pool,1,1,scrying pool,"['scrying', 'pool']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/scrying-pool.jpg
Transmute,Alchemy,Action,1,$0,"Trash a card from your hand. If it is an... Action card, gain a Duchy\nTreasure card, gain a Transmute\nVictory card, gain a Gold",transmute,1,1,transmute,['transmute'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/transmute.jpg
University,Alchemy,Action,1,$2,+2 Actions\nYou may gain an Action card costing up to $5.,university,1,1,university,['university'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/university.jpg
Vineyard,Alchemy,Victory,1,$0,Worth 1VP for every 3 Action cards in your deck (rounded down).,vineyard,1,1,vineyard,['vineyard'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/alchemy/vineyard.jpg
Bank,Prosperity,Treasure,1,$7,"When you play this, it's worth $1 per Treasure card you have in play (counting this).",bank,1,1,bank,['bank'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/bank.jpg
Bishop,Prosperity,Action,1,$4,"+$1\n+1VP\nTrash a card from your hand. +VP equal to half its cost in coins, rounded down. Each other player may trash a card from his hand.",bishop,1,1,bishop,['bishop'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/bishop.jpg
City,Prosperity,Action,1,$5,"+1 Card\n+2 Actions\nIf there are one or more empty Supply piles, +1 Card. If there are two or more, +$1 and +1 Buy.",city,1,1,city,['city'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/city.jpg
Contraband,Prosperity,Treasure,1,$5,"Worth $3\n+1 Buy\nWhen you play this, the player to your left names a card. You can't buy that card this turn.",contraband,1,1,contraband,['contraband'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/contraband.jpg
Counting House,Prosperity,Action,1,$5,"Look through your discard pile, reveal any number of Copper cards from it, and put them into your hand.",counting house,1,1,counting house,"['counting', 'house']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/counting-house.jpg
Expand,Prosperity,Action,1,$7,Trash a card from your hand. Gain a card costing up to $3 more than the trashed card.,expand,1,1,expand,['expand'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/expand.jpg
Forge,Prosperity,Action,1,$7,Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in coins of the trashed cards.,forge,1,1,forge,['forge'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/forge.jpg
Goons,Prosperity,Action-Attack,1,$6,"+1 Buy\n+$2\nEach other player discards down to 3 cards in hand.\dWhile this is in play, when you buy a card, +1VP.",goons,1,1,goons,['goons'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/goons.jpg
Grand Market,Prosperity,Action,1,$6,+1 Card\n+1 Action\n+1 Buy\n+$2\dYou can't buy this if you have any Copper in play.,grand market,1,1,grand market,"['grand', 'market']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/grand-market.jpg
Hoard,Prosperity,Treasure,1,$6,"Worth $2\dWhile this is in play, when you buy a Victory card, gain a Gold.",hoard,1,1,hoard,['hoard'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/hoard.jpg
King's Court,Prosperity,Action,1,$7,You may choose an Action card in your hand. Play it three times.,king court,1,1,king court,"['king', 'court']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/king%20court.jpg
Loan,Prosperity,Treasure,1,$3,"Worth $1\nWhen you play this, reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.",loan,1,1,loan,['loan'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/loan.jpg
Mint,Prosperity,Action,1,$5,"You may reveal a Treasure card from your hand. Gain a copy of it.\dWhen you buy this, trash all Treasures you have in play.",mint,1,1,mint,['mint'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/mint.jpg
Monument,Prosperity,Action,1,$4,+$2\n+1VP,monument,1,1,monument,['monument'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/monument.jpg
Mountebank,Prosperity,Action-Attack,1,$5,"+$2\nEach other player may discard a Curse. If he doesn't, he gains a Curse and a Copper.",mountebank,1,1,mountebank,['mountebank'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/mountebank.jpg
